"Source","Target","start","end"
15,31,0.0333333333333333,0.0388888888888889
15,22,0.0388888888888889,0.0444444444444444
15,22,0.666666666666667,0.677777777777778
15,22,0.683333333333333,0.688888888888889
15,22,1.25555555555556,2.03888888888889
15,22,2.05555555555556,2.21111111111111
15,22,2.21666666666667,2.22222222222222
15,22,2.26666666666667,2.27222222222222
15,22,2.27777777777778,2.28333333333333
15,22,2.28888888888889,2.29444444444444
15,22,2.3,2.30555555555556
15,22,2.34444444444444,2.36666666666667
15,22,2.37222222222222,2.37777777777778
15,22,2.56666666666667,2.57777777777778
15,22,2.81111111111111,2.81666666666667
15,22,2.82222222222222,2.83333333333333
15,22,2.85,2.85555555555556
15,22,2.95555555555556,3.01111111111111
15,22,3.01666666666667,3.03888888888889
15,22,3.05,3.06666666666667
15,22,3.91666666666667,3.92222222222222
15,22,3.99444444444444,4.03888888888889
15,22,4.08333333333333,4.09444444444444
15,22,4.42777777777778,4.44444444444444
15,22,4.45,4.46111111111111
15,22,4.57777777777778,4.58333333333333
15,22,5.12222222222222,5.12777777777778
15,22,5.13888888888889,5.14444444444444
15,22,5.15,5.16111111111111
15,22,5.17222222222222,5.17777777777778
15,22,5.18333333333333,5.19444444444444
15,22,5.2,5.21111111111111
15,22,5.23888888888889,5.24444444444444
15,22,5.25555555555556,5.27777777777778
15,22,5.28333333333333,5.3
15,22,5.30555555555556,5.31111111111111
15,22,5.33333333333333,5.35555555555556
15,22,5.37222222222222,5.37777777777778
15,22,5.38333333333333,5.42777777777778
15,22,5.44444444444444,5.45
15,22,5.45555555555556,5.46111111111111
15,22,5.5,5.52222222222222
15,22,5.52777777777778,5.55
15,22,5.55555555555556,5.56666666666667
15,22,5.57222222222222,5.57777777777778
15,22,5.58888888888889,5.6
15,22,5.60555555555556,5.61111111111111
15,22,5.67222222222222,5.67777777777778
15,22,19.9722222222222,19.9833333333333
15,22,20.0444444444444,20.0722222222222
15,22,20.0888888888889,20.0944444444444
15,22,20.1,20.1055555555556
15,22,20.1111111111111,20.1166666666667
15,22,20.1277777777778,20.1388888888889
15,22,20.1444444444444,20.1555555555556
15,22,20.8555555555556,20.8611111111111
15,22,20.95,20.9555555555556
15,22,21.3666666666667,21.4
15,22,21.4222222222222,21.45
15,22,21.4722222222222,21.4888888888889
15,22,21.5277777777778,21.5666666666667
15,22,21.5722222222222,21.5888888888889
15,22,21.65,21.6555555555556
15,22,21.6833333333333,21.6888888888889
15,22,22.1055555555556,22.1166666666667
15,22,22.1944444444444,22.2166666666667
15,22,22.4888888888889,22.4944444444444
15,22,22.7111111111111,22.7222222222222
15,22,22.8833333333333,22.8888888888889
15,22,22.9,22.9055555555556
15,22,23.0111111111111,23.0277777777778
15,22,23.3833333333333,23.3944444444444
15,22,23.45,23.5055555555556
15,22,23.5111111111111,23.5222222222222
15,22,23.5277777777778,23.5333333333333
15,22,29.6333333333333,29.6444444444444
15,22,29.6833333333333,29.7666666666667
15,16,0.133333333333333,0.144444444444444
15,16,0.25,0.266666666666667
15,16,3.52222222222222,3.55555555555556
15,16,3.68888888888889,3.69444444444444
15,16,4.37777777777778,4.38333333333333
15,16,4.42222222222222,4.42777777777778
15,16,4.43888888888889,4.44444444444444
15,16,4.45555555555556,4.46111111111111
15,16,5.42777777777778,5.43333333333333
15,16,20.2611111111111,20.2722222222222
15,16,20.3055555555556,20.3111111111111
15,16,20.3777777777778,20.3888888888889
15,16,20.4444444444444,20.45
15,16,20.4944444444444,20.5
15,16,20.6333333333333,20.6388888888889
15,16,20.6611111111111,20.6666666666667
15,16,20.7666666666667,20.7722222222222
15,16,20.7888888888889,20.8
15,16,20.9777777777778,20.9944444444444
15,16,21.3944444444444,21.4
15,16,21.4055555555556,21.4444444444444
15,16,21.4555555555556,21.4888888888889
15,16,21.9666666666667,21.9944444444444
15,16,22.0055555555556,22.0166666666667
15,16,22.0222222222222,22.0277777777778
15,16,22.0333333333333,22.0666666666667
15,16,22.0777777777778,22.0833333333333
15,16,22.2555555555556,22.2722222222222
15,16,22.2777777777778,22.3055555555556
15,16,22.4944444444444,22.5055555555556
15,16,23.0944444444444,23.1
15,16,23.2222222222222,23.2333333333333
15,16,23.2888888888889,23.3
15,16,23.3111111111111,23.3277777777778
15,16,23.3333333333333,23.3388888888889
15,16,45.15,45.1555555555556
15,16,45.2055555555556,45.2111111111111
15,16,45.3555555555556,45.3666666666667
15,16,45.45,45.4555555555556
15,16,45.5166666666667,45.5277777777778
15,16,45.6666666666667,45.6722222222222
15,16,46.0611111111111,46.0666666666667
15,16,46.0722222222222,46.0888888888889
15,16,46.6444444444444,46.65
15,16,47.7944444444444,47.8
15,16,47.9722222222222,47.9777777777778
15,16,49.0111111111111,49.0166666666667
15,16,49.0222222222222,49.0333333333333
15,16,49.05,49.0555555555556
15,16,49.0611111111111,49.0833333333333
15,16,50.2944444444444,50.3
15,16,50.3888888888889,50.4111111111111
15,16,50.4888888888889,50.4944444444444
15,16,50.5777777777778,50.5833333333333
15,16,51.7,51.7055555555556
15,16,51.7611111111111,51.7666666666667
15,16,52.1111111111111,52.1166666666667
15,16,52.1444444444444,52.1555555555556
15,16,52.4777777777778,52.4888888888889
15,16,52.4944444444444,52.5
15,16,52.7888888888889,52.7944444444444
15,16,52.8944444444444,52.9
15,16,52.9055555555556,52.9166666666667
15,16,52.9888888888889,52.9944444444444
15,16,53,53.0055555555556
15,16,53.0111111111111,53.0166666666667
15,16,68.45,68.4611111111111
15,16,69.6166666666667,69.6222222222222
15,16,69.6333333333333,69.6444444444444
15,16,70.2833333333333,70.2888888888889
15,16,70.3055555555556,70.3111111111111
15,16,70.3666666666667,70.3722222222222
15,16,70.8777777777778,70.8888888888889
15,16,71.0944444444444,71.1055555555556
